target,message,is_spam,num_chars_before_preprocess,len_message_before_preprocess,len_word,message_clean
ham,"Fair enough, anything going on?",0,31,5,6,fair enough anything go
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,67,14,4,yeah hopefully if tyler can not do it could maybe ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,148,30,4,u do not know how stubborn be do not even want to go to the hospital keep tell mark m not weak sucker hospital be for weak sucker
ham,What you thinked about me. First time you saw me in class.,0,58,12,4,what you think about first time you see in class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,124,23,5,gram usually run like   ltgt   half eighth be smart though and get you almost whole second gram for   ltgt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,80,16,5,k fyi x have ride early tomorrow morning but he s crash at our place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",0,291,55,5,wow never realize that you be so embarassed by your accomodation think you like it since be do the good could and you always seem so happy about the cave m sorry do not and do not have more to give m sorry offer m sorry your room be so embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,120,22,5,sm ac sptv the new jersey devil and the detroit red wing play ice hockey correct incorrect end reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,76,13,5,do you know what mallika sherawat do yesterday find out now    lturlgt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,161,27,5,congrat 1 year special cinema pass for 2 be yours call 09061209465 now c suprman v matrix3 starwars3 all 4 free bx420ip45we 150pm do not miss out
ham,"Sorry, I'll call later in meeting.",0,34,6,5,sorry ill call later in meeting
ham,Tell where you reached,0,22,4,5,tell where you reach
ham,Yes..gauti and sehwag out of odi series.,0,40,7,5,yesgauti and sehwag out of odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,108,23,4,your go have to pick up 1 burger for yourself your way home can not even move pain be kill
ham,Ha ha ha good joke. Girls are situation seekers.,0,48,9,5,good joke girl be situation seeker
ham,Its a part of checking IQ,0,25,6,4,its part of check iq
ham,"Sorry my roommates took forever, it ok if I come by now?",0,56,12,4,sorry my roommate take forever it ok if come by now
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,110,24,4,ok lar double check wif hair dresser already he say wun cut v short he say will cut until look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1,153,28,5,value customer be pleased to advise you that follow recent review of your mob no you be award with å1500 bonus prize call 09066364589
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",0,124,23,5,today be song dedicate day which song will u dedicate for send this to all ur valuable frnd but first rply
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,161,22,7,urgent ur award complimentary trip to eurodisinc trav acoentry41 å1000 to claim txt dis to 87121 186å150morefrmmob shracomorsglsuplt10 ls1 3aj
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",1,80,15,5,do you hear about the new divorce barbie it come with all of ken stuff
ham,I plane to give on this month end.,0,34,8,4,plane to give this month end
ham,Wah lucky man... Then can save money... Hee...,0,46,8,5,wah lucky man then can save money hee
ham,Finished class where are you.,0,29,5,5,finished class where be you
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,45,10,4,babe m at home now wanna do something xx
ham,K..k:)where are you?how did you performed?,0,42,6,7,kkwhere be youhow do you perform
ham,U can call me now...,0,20,5,4,u can call now
ham,I am waiting machan. Call me once you free.,0,43,9,4,be wait machan call once you free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,73,14,5,that s cool be gentleman and will treat you with dignity and respect
ham,I like you peoples very much:) but am very shy pa.,0,50,11,4,like you people very much but be very shy pa
ham,Does not operate after  &lt;#&gt;  or what,0,42,7,6,do not operate after   ltgt   what
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,76,16,4,its not the same here still look for job how much do tas earn there
ham,"Sorry, I'll call later",0,22,4,5,sorry ill call later
ham,K. Did you call me just now ah? ,0,32,8,4,k do you call just now
ham,Ok i am on the way to home hi hi,0,32,10,3,ok be the way to home
ham,You will be in the place of that man,0,36,9,4,you will be in the place of that man
ham,Yup next stop.,0,14,3,4,yup next
ham,"I call you later, don't have network. If urgnt, sms me.",0,55,11,5,call you later do not have network if urgnt sm
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,121,26,4,for real when u get yo only need 2 more ticket and one more jacket and m do already use all my multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,144,31,4,yes start to send request to make it but pain come back so m back in bed double coin at the factory too get cash in all my nitro
ham,I'm really not up to it still tonight babe,0,42,9,4,m really not up to it still tonight babe
ham,"Ela kano.,il download, come wen ur free..",0,41,7,5,ela kanoil download come wen ur free
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,0,62,10,6,yeah do donût stand to close tho youûll catch something
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,195,39,5,sorry to be pain be it ok if we meet another night spend late afternoon in casualty and that mean have not do any of stuff42moro and that include all my time sheet and that sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,141,26,5,smile in pleasure smile in pain smile when trouble like rain smile when sum1 hurt u smile becoz someone still love to see u smile
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,1,139,23,6,please call our customer service representative 0800 169 6031 between 10am9pm you have win guarantee å1000 cash å5000 prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,107,20,5,have not plan to buy later check already lido only get 530 show in e afternoon u finish work already
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1,125,22,5,your free ringtone be wait to be collect simply text the password mix to 85069 to verify get usher and britney fml
ham,Watching telugu movie..wat abt u?,0,33,5,6,watch telugu moviewat abt u
ham,i see. When we finish we have loads of loans to pay,0,51,12,4,see when we finish we have load of loan to pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",0,184,39,4,wk be ok   hol now yes for bit of run forget that have hairdresser appointment at four so need to get home n shower beforehand do that cause prob for uham
ham,Please don't text me anymore. I have nothing else to say.,0,57,11,5,please do not text anymore have nothing else to say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,81,21,3,okay name ur price long its legal wen can pick they up u ave x ams xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,76,16,4,m still look for to buy and have not go 4the driving test yet
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,26,6,per your request melle melle oru minnaminunginte nurungu vettam have be set your callertune for all caller press 9 to copy your friend callertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,183,36,5,wow you re right do not mean to do that guess once give up boston man and change my search location to nyc something change cuz my signin page it still say boston
ham,Umma my life and vava umma love you lot dear,0,44,10,4,umma my life and vava umma love you lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,95,17,5,thank lot for your wish my birthday thank you for make my birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",0,43,10,4,aight ill hit you up when get some cash
ham,How would my ip address test that considering my computer isn't a minecraft server,0,82,14,5,how would my ip address test that consider my computer be not minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,115,24,4,know grumpy old people my mom be like you well not be lie then again be always the one to play joke
ham,Dont worry. I guess he's busy.,0,30,6,5,do not worry guess he s busy
ham,What is the plural of the noun research?,0,40,8,5,what be the plural of the noun research
ham,Going for dinner.msg you after.,0,31,5,6,go for dinnermsg you after
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,96,24,4,m ok wif it cos like 2 try new thing but scare u dun like mah cos u say not too loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,159,27,5,gent we be try to contact you last weekend draw show that you win å1000 prize guarantee call 09064012160 claim code k52 valid 12hrs only 150ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,143,24,5,wa ur openin sentence very formal anyway m fine too juz tt m eatin too much n puttin weighthaha so anythin special happen
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",0,156,32,4,enter my cabin my pa say   happy bday boss   feel special she askd 4 lunch after lunch she invite to her apartment we go there
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,1,153,27,5,you be winner u have be specially select 2 receive å1000 4 holiday flights inc speak to live operator 2 claim 0871277810910pmin 18
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,0,72,12,6,goodo yes we must speak friday   eggpotato ratio for tortilla need
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,0,86,15,5,hmmmy uncle just inform that he s pay the school directly so pls buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,1,144,20,7,private your 2004 account statement for 07742676969 show 786 unredeemed bonus point to claim call 08719180248 identifier code 45239 expire
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",1,157,26,6,urgent your mobile no be award å2000 bonus caller prize 5903 this be our final try to contact u call from landline 09064019788 box42wr29c 150ppm
ham,here is my new address -apples&pairs&all that malarky,0,53,8,6,here be my new address applespairsall that malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,156,27,5,todays voda number end 7548 be select to receive 350 award if you have match please call 08712300220 quote claim code 4041 standard rate app
ham,I am going to sao mu today. Will be done only at 12 ,0,52,13,4,be go to sao mu today will be do only at 12
ham,ÌÏ predict wat time Ì_'ll finish buying?,0,40,7,5,ìï predict wat time ìll finish buying
ham,"Good stuff, will do.",0,20,4,5,good stuff will do
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0,244,46,5,just so that you knowyetunde have not money yet just she text not to bother send so its over you do not have to involve yourself in anything should not have impose anything you in the first place so for that apologise
ham,Are you there in room.,0,22,5,4,be you there in room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,0,107,27,3,hey girl how r u hope u r well an del r bak again long time no c give call sum time from lucyxx
ham,K..k:)how much does it cost?,0,28,5,5,kkhow much do it cost
ham,I'm home.,0,9,2,4,m home
ham,"Dear, will call Tmorrow.pls accomodate.",0,39,5,7,dear will call tmorrowpls accomodate
ham,First answer my question.,0,25,4,6,first answer my question
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,1,126,25,5,sunshine quiz wkly q win top sony dvd player if u know which country the algarve be in txt ansr to 82277 å150 sptyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,1,162,28,5,want 2 get lay tonight want real dogging location direct 2 ur mob join the uks large dogging network bt txte gravel to 69888 not ec2a 31pmsg150p
ham,I only haf msn. It's yijue@hotmail.com,0,38,6,6,only haf msn its yijuehotmailcom
ham,He is there. You call and meet him,0,34,8,4,he be there you call and meet he
ham,No no. I will check all rooms befor activities,0,46,9,5,no no will check all room befor activity
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,1,155,32,4,you ll not rcv any more msg from the chat svc for free hardcore service text go to 69988 if u get nothing u must age verify with yr network   try again
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,0,86,20,4,get c lazy to type forget ì in lect see pouch but like not v nice
ham,"K, text me when you're on the way",0,33,8,4,k text when you re the way
ham,"Sir, Waiting for your mail.",0,27,5,5,sir wait for your mail
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",0,158,26,6,swt think nver get tired of do little thing 4 lovable person cozsomtime those little thing occupy d big part in their heart gud ni8
ham,I know you are. Can you pls open the back?,0,42,10,4,know you be can you pls open the back
ham,Yes see ya not on the dot,0,25,7,3,yes see ya not the dot
ham,Whats the staff name who is taking class for us?,0,48,10,4,what s the staff name who be take class for we
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",1,159,29,5,freemsg why have not you reply to my text m randy sexy female and live local luv to hear from u netcollex ltd 08700621170150p per msg reply to end
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,0,84,15,5,ummmawill call after check inour life will begin from qatar so pls pray very hard
ham,K..i deleted my contact that why?,0,33,6,5,ki delete my contact that why
ham,Sindu got job in birla soft ..,0,30,7,4,sindu get job in birla soft
ham,The wine is flowing and i'm i have nevering..,0,45,9,5,the wine be flow and m have nevere
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,0,59,15,3,yup thk cine be well cos no need 2 go down 2 plaza mah
ham,Ok... Ur typical reply...,0,25,4,6,ok ur typical reply
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,26,6,per your request melle melle oru minnaminunginte nurungu vettam have be set your callertune for all caller press 9 to copy your friend callertune
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",0,384,80,4,you be everywhere dirt the floor the window even my shirt and sometimes when open my mouth you be all that come flow out dream of my world without you then half my chore be out too time of joy for lot of tv show ill see but guess like all thing you just must exist like rain hail and mist and when my time here be do you and become one
ham,Aaooooright are you at work?,0,28,5,5,aaooooright be you at work
ham,I'm leaving my house now...,0,27,5,5,m leave my house now
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",0,157,33,4,hello my love what be you do do you get to that interview today be you you happy be you be good boy do you think of meare you miss
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,1,124,19,6,customer service annoncement you have new year delivery wait for you please call 07046744435 now to arrange delivery
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,146,27,5,you be winner u have be specially select 2 receive å1000 cash 4 holiday flights inc speak to live operator 2 claim 0871277810810
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,0,115,24,4,keep yourself safe for because need you and miss you already and envy everyone that see you in real life
ham,New car and house for my parents.:)i have only new job in hand:),0,64,13,4,new and house for my parentsi have only new job in hand
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,0,85,19,4,m so in love with you m excited each day spend with you you make so happy
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,1,152,24,6,pls bootydelious 32f be invite you to be her friend reply yes434 no434 see her wwwsmsacubootydelious send frnd to 62468
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",1,155,30,5,bangbabe ur order be the way u should receive service msg 2 download ur content if u do not goto wap bangb tv ur mobile internetservice menu
ham,I place all ur points on e cultures module already.,0,51,10,5,place all ur point e culture module already
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1,157,27,5,urgent we be try to contact you last weekend draw show that you have win å900 prize guarantee call 09061701939 claim code s89 valid 12hrs only
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",0,74,13,5,frnd which be good way to avoid missunderstde wit our beloved one
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,0,67,13,5,great escape fancy the bridge but need her lager see you tomo
ham,Yes :)it completely in out of form:)clark also utter waste.,0,59,10,5,yes it completely in out of formclark also utter waste
ham,"Sir, I need AXIS BANK account no and bank address.",0,50,10,5,sir need axis bank account no and bank address
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",0,94,20,4,hmmm thk sure get time to hop ard ya can go 4 free abt muz call u to discuss liao
ham,What time you coming down later? ,0,33,6,5,what time you come down later
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",0,105,21,5,bloody hell can not believe you forget my surname mr   ill give u clue its spanish and begin with m
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",0,61,11,5,well m go finish my bath now have goodfine night
ham,Let me know when you've got the money so carlos can make the call,0,65,14,4,let know when you ve get the money so carlos can make the call
ham,U still going to the mall?,0,26,6,4,u still go to the mall
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",0,146,30,4,turn out my friend be stay for the whole show and will not be back til   ltgt   so feel free to go ahead and smoke that   ltgt   worth
ham,Text her. If she doesnt reply let me know so i can have her log in,0,66,16,4,text she if she do not reply let know so can have her log in
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,0,126,25,5,you just speak to maneesha v we d like to know if you be satisfied with the experience reply toll free with yes no
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0,159,31,5,you lift my hope with the offer of money be in need especially when the end of the month approach and it hurt my studying anyways have gr8 weekend
ham,Lol no. U can trust me.,0,23,6,3,lol no u can trust
ham,ok. I am a gentleman and will treat you with dignity and respect.,0,65,13,5,ok be gentleman and will treat you with dignity and respect
ham,"He will, you guys close?",0,24,5,4,he will you guy close
ham,Going on nothing great.bye,0,26,4,6,go nothing greatbye
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,0,152,32,4,hello handsome   be you find that job   not be lazy   work towards get back that net for mummy   where s my boytoy now   do he miss
ham,"Haha awesome, be there in a minute",0,34,7,4,haha awesome be there in minute
